,dataset,FT,lr,entry
0,CoLA,Full,3e-05,0.509(±0.017)
0,RTE,Full,3e-05,0.656(±0.032)
0,SST-2,Full,3e-05,0.897(±0.014)
0,QNLI,Full,3e-05,0.890(±0.005)
0,CoLA,BitFit,0.0001,0.526(±0.014)
0,CoLA,BitFit,0.0005,0.539(±0.016)
0,CoLA,BitFit,0.001,0.536(±0.018)
0,RTE,BitFit,0.0001,0.653(±0.020)
0,RTE,BitFit,0.0005,0.670(±0.016)
0,RTE,BitFit,0.001,0.656(±0.039)
0,SST-2,BitFit,0.0001,0.898(±0.004)
0,SST-2,BitFit,0.0005,0.893(±0.004)
0,SST-2,BitFit,0.001,0.896(±0.007)
0,QNLI,BitFit,0.0001,0.884(±0.003)
0,QNLI,BitFit,0.0005,0.888(±0.002)
0,QNLI,BitFit,0.001,0.888(±0.004)
0,CoLA,LayerNorm,0.0001,0.497(±0.013)
0,CoLA,LayerNorm,0.0005,0.535(±0.027)
0,CoLA,LayerNorm,0.001,0.529(±0.021)
0,RTE,LayerNorm,0.0001,0.648(±0.011)
0,RTE,LayerNorm,0.0005,0.653(±0.018)
0,RTE,LayerNorm,0.001,0.645(±0.020)
0,SST-2,LayerNorm,0.0001,0.883(±0.002)
0,SST-2,LayerNorm,0.0005,0.900(±0.006)
0,SST-2,LayerNorm,0.001,0.898(±0.007)
0,QNLI,LayerNorm,0.0001,0.876(±0.001)
0,QNLI,LayerNorm,0.0005,0.880(±0.003)
0,QNLI,LayerNorm,0.001,0.880(±0.004)
0,CoLA,Random,0.0005,0.491(±0.021)
0,CoLA,Random,0.001,0.531(±0.011)
0,CoLA,Random,0.005,0.531(±0.024)
0,RTE,Random,0.0005,0.607(±0.023)
0,RTE,Random,0.001,0.609(±0.016)
0,RTE,Random,0.005,0.637(±0.024)
0,SST-2,Random,0.0005,0.896(±0.006)
0,SST-2,Random,0.001,0.904(±0.005)
0,SST-2,Random,0.005,0.892(±0.005)
0,CoLA,InitBias&BitFit,0.0001,0.333(±0.049)
0,CoLA,InitBias&BitFit,0.0005,0.429(±0.139)
0,CoLA,InitBias&BitFit,0.001,0.488(±0.140)
0,CoLA,InitBias&BitFit,0.005,0.079(±0.121)
0,RTE,InitBias&BitFit,0.0001,0.545(±0.024)
0,RTE,InitBias&BitFit,0.0005,0.539(±0.035)
0,RTE,InitBias&BitFit,0.001,0.526(±0.027)
0,RTE,InitBias&BitFit,0.005,0.497(±0.027)
0,SST-2,InitBias&BitFit,0.0001,0.887(±0.002)
0,SST-2,InitBias&BitFit,0.0005,0.901(±0.005)
0,SST-2,InitBias&BitFit,0.001,0.854(±0.035)
0,SST-2,InitBias&BitFit,0.005,0.577(±0.152)
