,dataset,FT,lr,size,entry
0,CoLA,Full,3e-05,All,0.509(±0.017)
0,CoLA,Full,3e-05,1000,0.376(±0.046)
0,CoLA,Full,3e-05,100,0.102(±0.093)
0,CoLA,Full,3e-05,2500,0.405(±0.040)
0,CoLA,Full,3e-05,5000,0.471(±0.033)
0,CoLA,Full,3e-05,500,0.289(±0.078)
0,RTE,Full,3e-05,All,0.656(±0.032)
0,RTE,Full,3e-05,1000,0.621(±0.040)
0,RTE,Full,3e-05,100,0.534(±0.036)
0,RTE,Full,3e-05,2000,0.661(±0.021)
0,RTE,Full,3e-05,200,0.557(±0.029)
0,RTE,Full,3e-05,500,0.577(±0.030)
0,CoLA,BitFit,0.0001,All,0.526(±0.014)
0,CoLA,BitFit,0.0005,All,0.539(±0.016)
0,CoLA,BitFit,0.001,All,0.536(±0.018)
0,CoLA,BitFit,0.0001,1000,0.323(±0.095)
0,CoLA,BitFit,0.0005,1000,0.374(±0.068)
0,CoLA,BitFit,0.001,1000,0.422(±0.034)
0,CoLA,BitFit,0.0001,100,0.047(±0.045)
0,CoLA,BitFit,0.0005,100,0.079(±0.036)
0,CoLA,BitFit,0.001,100,0.119(±0.069)
0,CoLA,BitFit,0.0001,2500,0.427(±0.035)
0,CoLA,BitFit,0.0005,2500,0.481(±0.033)
0,CoLA,BitFit,0.001,2500,0.481(±0.020)
0,CoLA,BitFit,0.0001,5000,0.495(±0.026)
0,CoLA,BitFit,0.0005,5000,0.513(±0.018)
0,CoLA,BitFit,0.001,5000,0.481(±0.065)
0,CoLA,BitFit,0.0001,500,0.199(±0.109)
0,CoLA,BitFit,0.0005,500,0.298(±0.067)
0,CoLA,BitFit,0.001,500,0.314(±0.068)
0,RTE,BitFit,0.0001,All,0.653(±0.020)
0,RTE,BitFit,0.0005,All,0.670(±0.016)
0,RTE,BitFit,0.001,All,0.656(±0.039)
0,RTE,BitFit,0.0001,1000,0.623(±0.017)
0,RTE,BitFit,0.0005,1000,0.617(±0.021)
0,RTE,BitFit,0.001,1000,0.627(±0.025)
0,RTE,BitFit,0.0001,100,0.542(±0.024)
0,RTE,BitFit,0.0005,100,0.551(±0.025)
0,RTE,BitFit,0.001,100,0.543(±0.039)
0,RTE,BitFit,0.0001,2000,0.646(±0.011)
0,RTE,BitFit,0.0005,2000,0.658(±0.028)
0,RTE,BitFit,0.001,2000,0.663(±0.028)
0,RTE,BitFit,0.0001,200,0.545(±0.027)
0,RTE,BitFit,0.0005,200,0.530(±0.036)
0,RTE,BitFit,0.001,200,0.551(±0.041)
0,RTE,BitFit,0.0001,500,0.575(±0.029)
0,RTE,BitFit,0.0005,500,0.593(±0.035)
0,RTE,BitFit,0.001,500,0.595(±0.021)
0,CoLA,LayerNorm,0.0001,All,0.497(±0.013)
0,CoLA,LayerNorm,0.0005,All,0.535(±0.027)
0,CoLA,LayerNorm,0.001,All,0.529(±0.021)
0,CoLA,LayerNorm,0.0001,1000,0.308(±0.091)
0,CoLA,LayerNorm,0.0005,1000,0.378(±0.055)
0,CoLA,LayerNorm,0.001,1000,0.405(±0.031)
0,CoLA,LayerNorm,0.0001,100,0.032(±0.033)
0,CoLA,LayerNorm,0.0005,100,0.076(±0.066)
0,CoLA,LayerNorm,0.001,100,0.085(±0.069)
0,CoLA,LayerNorm,0.0001,2500,0.410(±0.054)
0,CoLA,LayerNorm,0.0005,2500,0.467(±0.022)
0,CoLA,LayerNorm,0.001,2500,0.482(±0.027)
0,CoLA,LayerNorm,0.0001,5000,0.447(±0.033)
0,CoLA,LayerNorm,0.0005,5000,0.511(±0.013)
0,CoLA,LayerNorm,0.001,5000,0.516(±0.020)
0,CoLA,LayerNorm,0.0001,500,0.206(±0.081)
0,CoLA,LayerNorm,0.0005,500,0.280(±0.065)
0,CoLA,LayerNorm,0.001,500,0.308(±0.050)
0,RTE,LayerNorm,0.0001,All,0.648(±0.011)
0,RTE,LayerNorm,0.0005,All,0.653(±0.018)
0,RTE,LayerNorm,0.001,All,0.645(±0.020)
0,RTE,LayerNorm,0.0001,1000,0.593(±0.022)
0,RTE,LayerNorm,0.0005,1000,0.608(±0.028)
0,RTE,LayerNorm,0.001,1000,0.617(±0.024)
0,RTE,LayerNorm,0.0001,100,0.531(±0.033)
0,RTE,LayerNorm,0.0005,100,0.527(±0.048)
0,RTE,LayerNorm,0.001,100,0.526(±0.020)
0,RTE,LayerNorm,0.0001,2000,0.640(±0.012)
0,RTE,LayerNorm,0.0005,2000,0.644(±0.018)
0,RTE,LayerNorm,0.001,2000,0.645(±0.014)
0,RTE,LayerNorm,0.0001,200,0.529(±0.044)
0,RTE,LayerNorm,0.0005,200,0.539(±0.038)
0,RTE,LayerNorm,0.001,200,0.550(±0.051)
0,RTE,LayerNorm,0.0001,500,0.555(±0.026)
0,RTE,LayerNorm,0.0005,500,0.585(±0.025)
0,RTE,LayerNorm,0.001,500,0.594(±0.017)
